City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,queenstown,-31.8976,26.8753,23.87,48,75,9.19,ZA,1701955169
211,imbituba,-28.24,-48.6703,25.76,80,100,1.86,BR,1701955379
212,archangelos,36.2149,28.1149,17.99,74,100,3.14,GR,1701955382
213,susuman,62.7833,148.1667,-40.01,95,54,0.45,RU,1701955384
214,undurkhaan,47.3194,110.6556,0.07,74,100,7.09,MN,1701955386
215,kudat,6.8837,116.8477,25.96,94,100,0.51,MY,1701955389
216,pathein,16.7833,94.7333,26.9,71,94,1.09,MM,1701955390
217,saiha,22.4833,92.9667,19.84,100,100,0.97,IN,1701955391
218,las khorey,11.1595,48.1967,26.26,61,93,5.39,SO,1701955394
219,juan griego,11.0817,-63.9655,28.09,72,61,5.07,VE,1701955395
220,machico,32.7,-16.7667,23.17,74,20,2.06,PT,1701955396
221,francistown,-21.17,27.5079,35.08,22,6,4.73,BW,1701954979
222,melfort,52.8667,-104.6177,2.07,87,100,3.09,CA,1701955402
223,taoudenni,22.6783,-3.9836,29.02,9,77,5.8,ML,1701955404
224,santa terezinha,-29.9002,-50.0904,26.45,79,100,3.11,BR,1701955405
225,cockburn town,21.4612,-71.1419,25.82,71,95,9.42,TC,1701955374
226,freetown,8.484,-13.2299,31.14,56,24,1.45,SL,1701955203
227,abepura,-2.6333,140.5833,25.45,89,20,1.54,ID,1701955409
228,mazowe,-17.504,30.9739,35.45,13,0,1.54,ZW,1701955410
229,bonthe,7.5264,-12.505,30.5,61,5,3.51,SL,1701955411
230,vilyuysk,63.7553,121.6247,-45.56,100,70,1.34,RU,1701955413
231,hadibu,12.65,54.0333,25.7,62,100,7.13,YE,1701955417
232,palmer,42.1584,-72.3287,-3.71,81,75,0.0,US,1701955418
233,kapit,2.0167,112.9333,24.17,98,100,0.43,MY,1701955419
234,garbahaarrey,3.3289,42.2209,33.99,19,87,3.46,SO,1701955421
235,ghat,24.9647,10.1728,23.88,13,0,4.82,LY,1701955423
236,cabo san lucas,22.8909,-109.9124,19.86,62,0,4.12,MX,1701955424
237,notodden,59.5594,9.2585,-4.71,88,75,0.0,NO,1701955425
238,rosetta,31.4044,30.4164,20.92,54,100,5.07,EG,1701955427
239,soe,-9.8607,124.284,21.25,90,100,1.28,ID,1701955428
240,birjand,32.8663,59.2211,15.26,10,0,5.14,IR,1701955431
241,kavieng,-2.5744,150.7967,27.57,82,100,3.97,PG,1701955432
242,tura,25.5198,90.2201,16.73,99,100,1.49,IN,1701955434
243,portland,45.5234,-122.6762,9.15,93,100,6.71,US,1701954906
244,al jawf,29.5,38.75,21.66,42,0,1.24,SA,1701955436
